method,display_method_name,cl_step,local_epoch,global_epoch,train_ce_loss,val_ce_loss,train_total_loss,kd_loss_raw,kd_loss_weighted,factor_orth_loss_raw,factor_orth_loss_weighted,delta_trace_loss_raw,delta_trace_loss_weighted,learning_rate,lambda_orth,kd_temperature,lora_rank,lora_alpha,lora_dropout,target_modules,batch_size,num_epochs,optimizer,scheduler,method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_weight,uses_delta_trace,uses_factor_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules_x,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_total_loss,target_modules_y
rank_extension_kd_only_T2,RankExt + KD T2,1,6,6,0.039816779790073635,0.14574379087239503,0.039816779790073635,0.0,0.0,,,,,0.0,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,1,6,True,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.0,0.0,,,,,,,0.0,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,2,1,7,3.432135572702717,1.3046175527572632,4.61274998941125,1.180614415718526,1.180614415718526,,,,,9.86480580696908e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,2,1,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.180614415718526,1.180614415718526,,,,,,,0.7368868860706262,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,2,2,8,1.0239531199463079,1.1404481201171874,2.4192642166966296,1.3953110958709092,1.3953110958709092,,,,,8.430152761045664e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,2,2,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.3953110958709092,1.3953110958709092,,,,,,,1.4508641344202218,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,2,3,9,0.9226574178601875,1.0998786010742188,2.276674972792141,1.3540175573747666,1.3540175573747666,,,,,5.8671692881207665e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,2,3,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.3540175573747666,1.3540175573747666,,,,,,,1.554960183780943,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,2,4,10,0.8696756079548695,1.1014891352653504,2.198829659086759,1.329154051620452,1.329154051620452,,,,,3.018935110253619e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,2,4,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.329154051620452,1.329154051620452,,,,,,,1.6061236818981177,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,2,5,11,0.8418363652268394,1.0856593012809754,2.1560907193871794,1.3142543545511902,1.3142543545511902,,,,,8.223616450958865e-06,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,2,5,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.3142543545511902,1.3142543545511902,,,,,,,1.6298795200874923,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,2,6,12,0.8375402740478516,1.086393311023712,2.1425895843505858,1.305049311542511,1.305049311542511,,,,,0.0,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,2,6,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.305049311542511,1.305049311542511,,,,,,,1.6319237708422965,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,3,1,13,2.9555054034812165,0.9402001934051514,3.8777497380532924,0.9222443330375274,0.9222443330375274,,,,,9.86480580696908e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,3,1,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9222443330375274,0.9222443330375274,,,,,,,0.6892582879721191,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,3,2,14,0.8702446469518005,0.8445822744369507,1.9709161389069478,1.1006714897077592,1.1006714897077592,,,,,8.430152761045664e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,3,2,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.1006714897077592,1.1006714897077592,,,,,,,1.352130293535838,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,3,3,15,0.7666254730498204,0.7922172870635986,1.8323274100413087,1.0657019381640387,1.0657019381640387,,,,,5.8671692881207665e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,3,3,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.0657019381640387,1.0657019381640387,,,,,,,1.4820715710680925,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,3,4,16,0.7140269612679716,0.8012619638442993,1.770005400845262,1.0559784392841527,1.0559784392841527,,,,,3.018935110253619e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,3,4,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.0559784392841527,1.0559784392841527,,,,,,,1.5581721830712032,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,3,5,17,0.6858925658171294,0.793740478515625,1.7266518061278295,1.0407592392358624,1.0407592392358624,,,,,8.223616450958865e-06,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,3,5,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.0407592392358624,1.0407592392358624,,,,,,,1.5979912485484318,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,3,6,18,0.672949562549591,0.780129638671875,1.7109520812988281,1.0380025195121765,1.0380025195121765,,,,,0.0,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,3,6,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.0380025195121765,1.0380025195121765,,,,,,,1.6182322466746248,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,4,1,19,2.9669203338763523,1.0602497568130493,3.7954292112013324,0.8285088826663665,0.8285088826663665,,,,,9.86480580696908e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,4,1,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.8285088826663665,0.8285088826663665,,,,,,,0.5789626931343049,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,4,2,20,0.8684341680808145,0.8505411376953125,1.8969622678444034,1.0285281031835274,1.0285281031835274,,,,,8.430152761045664e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,4,2,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",1.0285281031835274,1.0285281031835274,,,,,,,1.275535650561961,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,4,3,21,0.7245107505165163,0.7646241455078125,1.7213309966149877,0.9968202459030464,0.9968202459030464,,,,,5.8671692881207665e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,4,3,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9968202459030464,0.9968202459030464,,,,,,,1.4760398018587186,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,4,4,22,0.6683843539386499,0.798643798828125,1.64201016641054,0.9736258124718901,0.9736258124718901,,,,,3.018935110253619e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,4,4,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9736258124718901,0.9736258124718901,,,,,,,1.5676918844774,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,4,5,23,0.6315375056423125,0.7759460458755493,1.5946784210986777,0.9631409153586529,0.9631409153586529,,,,,8.223616450958865e-06,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,4,5,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9631409153586529,0.9631409153586529,,,,,,,1.6140222081026616,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,4,6,24,0.6216279826164246,0.7814296875,1.5788305128097535,0.9572025297164917,0.9572025297164917,,,,,0.0,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,4,6,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9572025297164917,0.9572025297164917,,,,,,,1.6257954584505803,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,5,1,25,2.716983755608432,0.83806494140625,3.4670197571553105,0.7500360022446083,0.7500360022446083,,,,,9.86480580696908e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,5,1,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.7500360022446083,0.7500360022446083,,,,,,,0.7326545254528327,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,5,2,26,0.6559826320312062,0.647772339105606,1.5844989141479868,0.9285162852435815,0.9285162852435815,,,,,8.430152761045664e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,5,2,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.9285162852435815,0.9285162852435815,,,,,,,1.5059525184625746,,"q_proj, v_proj"
rank_extension_kd_only_T2,RankExt + KD T2,5,3,27,0.5831298682533327,0.662922607421875,1.4777707092097547,0.8946408409564222,0.8946408409564222,,,,,5.8671692881207665e-05,0.0,2.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,rank_extension_kd_only,5,3,True,1.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",0.8946408409564222,0.8946408409564222,,,,,,,1.623811560102989,,"q_proj, v_proj"
